,0
0,
1,turmoil has engulfed the galactic republic the taxation of trade routes to
2,outlaying star systems is in dispute
3,hoping to resolve the matter with a blockade of deadly battleships the
4,greedy trade federation has stopped all shipping to the small planet of
5,naboo
6,while the congress of the republic endlessly debates this alarming chain of
7,events the supreme chancellor has secretly dispatched two jedi knights
8,the guardians of peace and justice in the galaxy to settle the
9,conflict
10,
11,pan down to reveal a small space cruiser heading toward camera at great
12,speed pan with the cruiser as it heads towardthe beautiful green planet of
13,naboo which is surrounded by hundreds of trade federation battleships
14,
15,int republic cruiser  cockpit
16,
17,
18,in the cockpit of the cruise the captain and pilot maneuver closer to one
19,of the battleships
20,
21,quigon  off screen voice captain
22,
23,the captain turns to an unseen figure sitting behind her
24,
25,captain  yes sir
26,quigon  vo tell them we wish to board at once
27,captain  yes sir
28,
29,the captain looks to her view screen where nute gunray a neimoidian trade
30,viceroy waits for a reply
31,
32,captain  contd with all due respect for the trade federation the
33,ambassodors for the supreme chancellor wish to board immediately
34,nute  yes yes of coarseahhhas you know our blockade is perfectly
35,legal and wed be happy to recieve the ambassadorhappy to
36,
37,the screen goes black out the cockpit window the sinister battleship
38,looms ever closer
39,
40,ext federation battleship  docking bay  space fx
41,
42,the small space cruiser docks in the enormous main bay of the federation
43,battleship
44,
45,int federation battleship  docking bay  space
46,
47,a protocol droid tc waits at the door to the docking bay two worker
48,droids pk and eg watch
49,
50,pk  they must be important if the viceroy sent one of those useless
51,protocol gearheads to greet them
52,
53,the door opens and the republic cruiser can be seen in the docking bay
54,two darkly robed figures are greeted by tc
55,
56,tc  im tc at your service this way please
57,
58,they move off down the hallway
59,
60,eg  a republic cruiser thats troubledont you think
61,pr  im not made to think
62,
63,int federation battleship  conference room
64,
65,a door slides open and the two cloaked shapes are led past camera into the
66,formal conference room by tc
67,
68,tc  i hope you honoured sirs with the most comfortable here my master
69,will be with you shortly
70,
71,the droid bows before obiwan kenobi and qui gon jinn he backs out the
72,door and it closes the jedi lower their hoods and look out a large window
73,at the lush green planet of naboo quigon sixty years old has long white
74,hair in a ponytail he is tall and striking with blue eyes obiwan is
75,twenty five with very short brown hair pale skin and blue eyes several
76,exotic birdlike creatures sing in a cage near the door
77,
78,obiwan  i have a bad feeling about this
79,quigon  i dont sense anything
80,obiwan  its not about the mission master its
81,somethgingelsewhereelusive
82,quigon  dont center on your anxiety obiwan keep your concentration
83,here and now where it belongs
84,obiwan  master yoda says i should be mindful of the future
85,quigon  but not at the expense of the moment be mindful of the
86,living force my young padawan
87,obiwan  yes masterhow do you think the trade viceroy will deal with
88,the chancellors demands
89,quigon  these federation types are cowards the negotiations will be
90,short
91,
92,int federation battleship  bridge
93,
94,nute gunray and daultray dofine stand stunned before tc
95,
96,nute  shaken what what did you say
97,tc  the ambassadors are jedi knights i believe
98,dofine  i knew it they were sent to force a settlement eh blind me
99,were done for
100,
101,int federation battleship  hallway
102,
103,a hologram of nute  surrounded by battle droids appears in the conference
104,room hallway
105,
106,nute  they must be dead by now blast whats left of them
107,
108,the hologram fades off as a battle droid owo cautiously opens the
109,door a deadly green cloud billows from the room battle droids cock their
110,weapons as a figure stumbles out of the smoke it is tc  carrying the
111,tray of drinks
112,
113,tc  oh excuse me so sorry
114,
115,the protocol droid passes the armed camp just as two flashing laser swords
116,fly out of the deadly fog cutting down several battle droids before they
117,can fire
118,
119,int federation battleship  bridge
120,
121,the bridge is a cocophony of alarms nute and rune watch owo on the
122,viewscreen
123,
124,owo  not sure exactly what
125,
126,owo is suddenly cut in half in midsentence rune gives nute a worried
127,look
128,
129,nute  what in blazes is going on down there
130,rune  have you ever encountered a jedi knight before sir
131,nute  well not exactly but i dontpanicked seal off the bridge
132,rune  that wont be enough sir
133,
134,the doors to the bridge slam shut
135,
136,nute  i want destroyer droids up here at once
137,rune  we will not survive this
138,
139,int federation battleship  hallway  outside bridge
140,
141,quigon cuts several battle droids in half creating a shower of sparks and
142,metal parts obiwan raises his hand sending several battle droids
143,crashing into the wall
144,
145,quigon makes his way to the bridge door and begins to cut through it
146,
147,int federation battleship  bridge
148,
149,the crew is very nervous as sparks start flying around the bridge door
150,quigon and obiwan are on the view screen
151,
152,nute  close the blast doors
153,
154,the huge very thick blast door slams shut followed by a second door then
155,a third there is a hissing sound as the huge doors seal shut quigon tabs
156,the door with his sword the screen goes black as a red spot appears in the
157,center of the blast door
158,
159,rune  theyre still coming through
160,
161,on the door chunks of molten metal begin to drop away
162,
163,nute  impossible this is impossible
164,rune  where are those destroyer droids
165,
166,int federation battleship  hallway  outside bridge
167,
168,ten ugly destroyer wheel droids roll down the hallway at full speed just
169,before they get to the bridge area they stop and transform into their
170,battle configuration quigon cant see them but senses their presence
171,
172,quigon  destroyer droids
173,obiwan  offhand id say this mission is past the negotiaion stage
174,
175,the wheel droids led by p rush the entry area from three hallways
176,blasting away with their laser guns they stop firing and stand in a
177,semicircle as the smoke clears obiwan and quigon are nowhere to be
178,seen
179,
180,p  switch to biothere they are
181,
182,the jedi materialize at the far end of the hallway and dash through the
183,doorway that slams shut the wheel droids blast away at the two jedi with
184,their laser swords
185,
186,obiwan  they have shield generators
187,quigon  its a standoff lets go
188,
189,int federation battleship  bridge
190,
191,nute and rune stand on the bridge watching the view screen as the wheel
192,droids pov speeds to the doorway
193,
194,rune  we have them on the run sirtheyre no match for destroyer
195,droids
196,tey how  sir theyve gone up the ventilation shaft
197,
198,int federation battleship  main bay
199,
200,quigon and obiwan appear at a large vent in a giant hanger bay they are
201,careful not to be seen thousands of battle droids are loading onto landing
202,craft
203,
204,quigon  battle droids
205,obiwan  its an invisible army
206,quigon  its an odd play for the trade federation weve got to warn the
207,naboo and contact chancellor valorum lets split up stow aboard separate
208,ships and meet down on the planet
209,obiwan  you were right about one thing master the negotiations were
210,short
211,
212,int federation battleship  bridge
213,
214,tey how recieves a transmission
215,
216,tey how  sir a transmission from the planet
217,rune  its queen amidala herself
218,nute  at last were getting results
219,
220,on the view screen queen amidala appears in her throne room wearing her
221,elaborate headdress and robes she sits surrounded by the governing
222,council and four handmaidens eirtae yane rabe and sache
223,
224,nute  contd again you come before me your highness the federation is
225,pleased
226,amidala  you will not be pleased when you hear what i have to say
227,viceroyyour trade boycott of our planet has ended
228,
229,nute smirks at rune
230,
231,nute  i was not aware of such a failure
232,amidala  i have word that the senate is finally voting on this blockade of
233,yours
234,nute  i take it you know the outcome i wonder why they bother to vote
235,amidala  enough of this pretense viceroy im aware the chancellors
236,ambassadors are with you now and that you have beencommanded to reach a
237,settlement
238,nute  i know nothing about any ambassadorsyou must be mistaken
239,
240,amidala surprised at his reaction studies him carefully
241,
242,amidala  beware viceroythe federation is going too far this time
243,nute  your highness we would never do anything without the approval of
244,the senate you assume too much
245,amidala  we will see
246,
247,the queen fades off and the view screen goes black
248,
249,rune  shes right the senate will never
250,nute  its too late now
251,rune  do you think she suspects an attack
252,nute  i dont know but we must move quickly to disrupt all communications
253,down there
254,
255,int naboo palace  throne room
256,
257,the queen eirtae sache and her governor sio bibble stand before a
258,hologram of senator palpatine a thin kindly man
259,
260,palpatine  how could that be true i have assurances from the
261,chancellorhis ambassaodrs did arrive it must be
262,thegetnegotiate
263,
264,the hologram of palpatione sputters and fades away
265,
266,amidala  senator palpatine turns to panaka whats happening
267,
268,captain panaka turns to his sargeant
269,
270,capt panaka  check the transmission generators
271,bibble  a malfunction
272,capt panaka  it could be the federation jamming us your highness
273,bibble  a communications disruption can only mean one thing invasion
274,amidala  dont jump to conclusions governor the federation would not
275,dare go that far
276,capt panaka  the senate would revoke their trade franchise and theyd be
277,finished
